id,host_listings_count,host_total_listings_count,zipcode,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,guests_included,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,reviews_per_month
17807120,1,1,94112,37.714257919362694,-122.44071167514879,4,1,1,2,$84.00,2,2,1125,0,0,16,19,19,99,10,10,10,10,9,10,1,1.15
17807479,73,73,94103,37.77247142100305,-122.4164734758884,4,3,1,4,$40.00,1,180,1125,30,60,90,364,2,60,5,5,10,5,10,5,26,0.16
17807709,2,2,94123,37.79554763046403,-122.4266376769979,8,5.5,6,10,$800.00,1,60,180,0,0,0,124,0,,,,,,,,2,
17809833,1,1,94110,37.73530902814307,-122.42480340758826,2,1,1,1,$110.00,1,3,29,6,11,11,11,50,99,10,10,10,10,10,10,1,2.9
17810208,1,1,94105,37.787908455527,-122.39439090732736,2,1,0,1,$400.00,1,30,1125,0,0,0,0,44,92,10,9,9,9,10,10,1,2.48
17811571,1,1,94110,37.736852667885536,-122.41698419227973,2,1,1,1,$85.00,2,2,21,2,19,49,105,72,98,10,10,10,10,10,9,1,4.81
17812931,2,2,94131,37.745475916999084,-122.44615004025387,2,1,1,2,$80.00,1,1,14,5,10,36,126,134,99,10,10,10,10,9,10,2,7.94
17813890,1,1,94122,37.76499259936997,-122.46250570868335,7,2.5,3,4,$400.00,1,2,1125,0,0,0,0,16,100,10,10,10,10,10,9,1,1.06
17826075,19,19,94102,37.78697396341125,-122.40906363597695,2,1,0,1,$75.00,1,1,21,0,0,0,0,47,92,10,10,10,9,10,9,19,2.71
17826181,19,19,94102,37.78731092667102,-122.40903298344877,2,1,0,1,$75.00,1,1,21,0,0,0,0,50,92,9,9,10,9,10,9,19,2.86
17826404,1,1,94117,37.77651786415423,-122.43755286950677,2,1,0,1,$96.00,2,30,1125,0,2,32,211,8,100,10,10,10,10,10,9,1,0.6
17833058,1,1,94133,37.80116056611182,-122.40767654385667,2,1,1,1,$150.00,2,30,60,8,38,68,157,59,94,10,10,10,10,10,9,1,3.55
