id,host_total_listings_count,longitude,accommodates,price,maximum_nights,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,reviews_per_month
3512779,1,-122.40121497765817,2,$143.00,1125,36,0,,,,,,,,1,
3512817,2,-122.44260051187693,2,$80.00,1125,219,0,,,,,,,,2,
3519611,1,-122.44134888059125,5,$675.00,45,59,19,98,10,10,10,10,10,10,1,0.38
3520817,1,-122.42846205606986,6,$850.00,1125,250,40,97,10,10,10,10,10,10,1,0.8
3522990,1,-122.40173117540529,5,$300.00,21,5,8,100,10,10,10,10,10,10,1,0.21
3532347,32,-122.42706604466963,6,$302.00,1125,365,2,90,9,9,9,9,9,9,32,0.04
3534282,1,-122.42200737142957,2,$119.00,29,51,95,99,10,10,10,10,10,10,1,1.9
3534522,1,-122.4536578939776,6,$150.00,1125,0,19,96,10,10,9,10,9,10,1,0.39
3549398,1,-122.44080387647983,2,$99.00,1125,285,318,99,10,10,10,10,10,10,1,6.35
3563261,1,-122.42678603514013,4,$185.00,1125,337,55,93,10,10,10,10,10,9,1,1.12
3565068,1,-122.44109073133878,5,$400.00,1125,33,30,97,10,10,10,10,10,9,1,0.6
3569750,1,-122.40568538232483,2,$145.00,1125,27,124,97,10,10,10,10,10,10,1,2.48
3571735,6,-122.42402154580893,1,$39.00,120,24,12,88,9,9,9,9,9,9,6,0.27
3585034,2,-122.44865029050581,4,$200.00,29,14,13,100,10,10,10,10,10,10,1,0.26
3591813,1,-122.43729081663204,4,$300.00,1125,322,20,100,10,10,10,10,10,10,1,0.41
3594786,1,-122.41907068465494,4,$225.00,30,143,79,97,10,10,10,10,10,9,1,1.58
3611131,1,-122.43966030821888,2,$199.00,30,26,178,89,9,9,9,9,9,9,1,3.55
3615642,1,-122.43648589302263,2,$150.00,60,0,0,,,,,,,,1,
3629365,1,-122.44561251286756,4,$160.00,1125,297,7,100,10,9,10,10,10,10,1,0.25
